"112年10月 4532 瑞智             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","2,244,252","44,333,806","19.55","19.95","19.50","19.85","+0.40","958",
"112/10/03","1,366,722","26,925,234","19.90","19.90","19.60","19.75","-0.10","669",
"112/10/04","763,202","14,890,067","19.60","19.60","19.40","19.50","-0.25","456",
"112/10/05","738,733","14,567,828","19.70","19.80","19.55","19.70","+0.20","403",
"112/10/06","584,882","11,482,931","19.65","19.75","19.55","19.65","-0.05","327",
"112/10/11","1,406,829","27,132,799","19.65","19.65","19.15","19.15","-0.50","739",
"112/10/12","867,502","16,840,312","19.20","19.60","19.20","19.55","+0.40","399",
"112/10/13","578,686","11,245,337","19.40","19.60","19.30","19.35","-0.20","278",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
