"112年10月 4566 時碩工業         各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","563,814","31,753,603","56.90","57.00","55.90","56.50","+0.60","520",
"112/10/03","515,328","28,792,391","56.80","56.90","55.00","55.30","-1.20","432",
"112/10/04","301,927","16,353,289","54.60","54.60","53.70","54.20","-1.10","293",
"112/10/05","241,515","13,153,468","54.50","54.90","54.20","54.20"," 0.00","232",
"112/10/06","166,270","9,010,860","54.50","54.80","54.00","54.00","-0.20","142",
"112/10/11","603,918","31,965,689","54.10","54.30","52.00","52.00","-2.00","406",
"112/10/12","304,422","16,000,641","52.00","53.00","52.00","52.60","+0.60","168",
"112/10/13","184,663","9,681,417","52.20","52.90","52.20","52.50","-0.10","159",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
