"112年10月 4572 駐龍             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","441,071","70,585,752","160.00","161.00","158.50","160.50","+1.00","977",
"112/10/03","1,765,927","293,404,808","169.50","171.50","161.50","161.50","+1.00","3,859",
"112/10/04","297,997","47,694,561","158.50","162.00","158.00","161.00","-0.50","852",
"112/10/05","213,511","34,563,434","162.50","163.00","160.50","161.50","+0.50","353",
"112/10/06","493,811","81,342,433","165.00","168.00","163.00","163.50","+2.00","573",
"112/10/11","661,634","108,450,942","168.00","169.00","160.50","160.50","-3.00","707",
"112/10/12","545,068","86,970,680","162.50","162.50","158.50","160.00","-0.50","887",
"112/10/13","450,050","71,051,758","160.00","160.00","157.00","157.50","-2.50","576",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
