"112年10月 5288 豐祥-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","6,303","1,088,421","173.00","173.00","172.50","172.50","+1.50","13",
"112/10/03","25,503","4,433,019","173.00","175.50","172.50","173.50","+1.00","28",
"112/10/04","22,150","3,817,800","172.00","173.50","171.50","173.50"," 0.00","73",
"112/10/05","12,002","2,098,858","175.50","175.50","174.00","174.00","+0.50","13",
"112/10/06","15,220","2,657,440","174.00","175.00","174.00","174.00"," 0.00","16",
"112/10/11","32,252","5,588,722","174.00","175.00","172.00","173.00","-1.00","110",
"112/10/12","64,446","11,210,080","173.50","174.50","173.50","174.00","+1.00","70",
"112/10/13","26,121","4,539,056","174.50","174.50","173.00","174.00"," 0.00","139",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
