"112年10月 2324 仁寶             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","24,013,855","743,332,211","31.00","31.30","30.70","30.90","+0.20","7,354",
"112/10/03","19,854,276","616,885,842","30.90","31.30","30.80","30.90"," 0.00","5,493",
"112/10/04","14,253,179","434,070,964","30.55","30.65","30.20","30.50","-0.40","6,298",
"112/10/05","15,248,106","468,517,802","30.70","30.90","30.50","30.85","+0.35","4,998",
"112/10/06","21,173,317","646,463,649","30.90","31.05","30.35","30.50","-0.35","6,430",
"112/10/11","29,055,401","894,677,254","30.60","31.10","30.50","30.80","+0.30","9,436",
"112/10/12","17,317,209","531,844,670","31.05","31.10","30.45","30.80"," 0.00","6,100",
"112/10/13","31,813,008","956,174,384","30.60","30.65","29.70","30.20","-0.60","11,368",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
