"112年10月 2353 宏碁             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","15,967,859","592,339,127","36.35","37.45","36.35","37.15","+0.85","7,417",
"112/10/03","22,775,986","855,379,749","37.20","38.15","37.00","37.25","+0.10","10,601",
"112/10/04","20,194,908","733,319,614","36.70","36.70","36.00","36.35","-0.90","10,322",
"112/10/05","19,434,567","726,923,871","36.60","37.90","36.30","37.40","+1.05","9,348",
"112/10/06","9,560,786","358,436,192","37.75","37.75","37.20","37.55","+0.15","5,991",
"112/10/11","24,399,313","912,145,062","37.60","38.35","36.75","36.80","-0.75","11,705",
"112/10/12","9,540,605","355,557,671","37.50","37.60","37.00","37.30","+0.50","5,204",
"112/10/13","16,992,114","619,559,718","37.00","37.00","36.30","36.35","-0.95","8,750",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
