"112年10月 2362 藍天             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","363,785","11,563,476","31.70","31.95","31.65","31.85","+0.25","273",
"112/10/03","679,877","21,569,769","31.85","31.95","31.50","31.50","-0.35","425",
"112/10/04","273,677","8,538,962","31.45","31.45","31.10","31.10","-0.40","408",
"112/10/05","376,516","11,737,400","31.15","31.35","31.10","31.30","+0.20","320",
"112/10/06","138,161","4,342,346","31.35","31.55","31.20","31.45","+0.15","179",
"112/10/11","947,981","30,481,364","32.10","33.20","31.80","31.80","+0.35","626",
"112/10/12","308,242","9,844,030","31.85","32.05","31.65","32.00","+0.20","249",
"112/10/13","2,119,691","69,874,313","32.05","33.60","32.00","33.10","+1.10","1,231",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
