"112年10月 2399 映泰             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","3,489,263","84,863,284","23.65","24.80","23.65","24.25","+0.95","2,049",
"112/10/03","1,911,782","45,844,404","24.40","24.45","23.65","23.70","-0.55","1,222",
"112/10/04","2,133,501","49,471,340","23.70","23.70","23.00","23.05","-0.65","1,359",
"112/10/05","2,122,969","50,615,667","23.35","24.15","23.35","23.65","+0.60","1,264",
"112/10/06","8,171,156","200,032,589","23.80","24.75","23.80","24.55","+0.90","4,441",
"112/10/11","11,119,796","276,886,096","25.35","25.45","24.10","24.10","-0.45","5,985",
"112/10/12","7,198,737","179,123,860","24.35","25.20","24.20","24.85","+0.75","3,827",
"112/10/13","3,473,503","84,407,117","24.65","24.65","24.10","24.15","-0.70","2,051",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
