"112年10月 2495 普安             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","458,082","9,004,644","19.60","19.85","19.50","19.80","+0.30","350",
"112/10/03","746,729","14,755,928","19.80","20.05","19.50","19.55","-0.25","439",
"112/10/04","322,702","6,233,809","19.50","19.55","19.15","19.35","-0.20","249",
"112/10/05","604,269","11,946,437","19.45","20.00","19.45","19.80","+0.45","363",
"112/10/06","284,022","5,611,786","19.95","19.95","19.55","19.70","-0.10","221",
"112/10/11","1,326,253","26,592,360","20.00","20.35","19.85","19.95","+0.25","731",
"112/10/12","976,568","19,785,558","20.00","20.40","20.00","20.30","+0.35","549",
"112/10/13","1,031,412","21,106,186","20.40","20.55","20.30","20.55","+0.25","521",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
