"112年10月 3013 晟銘電           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","19,045,190","903,796,437","45.15","48.65","44.85","48.65","+4.40","9,784",
"112/10/03","36,911,789","1,734,694,717","49.50","49.50","45.35","45.50","-3.15","20,880",
"112/10/04","30,162,625","1,401,179,607","44.90","47.40","44.55","46.35","+0.85","18,365",
"112/10/05","28,995,909","1,390,157,444","46.60","49.50","46.55","47.80","+1.45","17,375",
"112/10/06","65,821,327","3,324,951,250","48.20","52.40","48.15","50.30","+2.50","35,248",
"112/10/11","40,863,581","2,020,747,826","52.00","53.30","46.70","47.75","-2.55","22,489",
"112/10/12","19,726,941","960,951,224","48.30","49.50","47.85","49.00","+1.25","11,525",
"112/10/13","11,362,962","541,777,709","48.70","48.75","47.10","47.60","-1.40","7,481",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
