"112年10月 6591 動力-KY          各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","158,871","8,496,865","53.00","53.80","53.00","53.30","+0.60","156",
"112/10/03","96,757","5,135,438","53.30","53.90","52.70","52.70","-0.60","134",
"112/10/04","62,477","3,273,347","52.40","53.10","52.20","52.30","-0.40","111",
"112/10/05","92,442","4,894,638","52.50","53.40","52.40","52.80","+0.50","85",
"112/10/06","69,106","3,648,352","52.40","53.10","52.40","52.90","+0.10","67",
"112/10/11","185,625","9,947,029","53.30","54.20","53.00","53.80","+0.90","217",
"112/10/12","434,276","23,745,223","54.60","55.10","54.30","54.80","+1.00","395",
"112/10/13","234,007","12,765,621","55.20","55.20","54.20","54.40","-0.40","213",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
