"112年10月 1203 味王             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","13,180","546,866","41.50","41.55","41.35","41.35","-0.20","28",
"112/10/03","14,249","588,571","41.35","41.35","41.30","41.30","-0.05","14",
"112/10/04","21,047","859,872","41.30","41.30","40.80","40.85","-0.45","29",
"112/10/05","13,165","539,290","40.60","41.00","40.60","41.00","+0.15","47",
"112/10/06","29,768","1,220,021","41.20","41.30","40.50","41.30","+0.30","48",
"112/10/11","11,751","488,636","41.30","41.85","41.30","41.80","+0.50","37",
"112/10/12","39,638","1,669,066","42.00","42.40","41.85","42.40","+0.60","144",
"112/10/13","16,226","680,500","42.00","42.00","41.45","41.90","-0.50","41",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
