"112年10月 1219 福壽             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","313,397","6,238,141","20.00","20.00","19.85","19.95"," 0.00","218",
"112/10/03","258,853","5,161,833","20.00","20.00","19.90","19.90","-0.05","150",
"112/10/04","287,710","5,701,389","19.85","19.90","19.75","19.80","-0.10","250",
"112/10/05","216,504","4,287,026","19.80","19.85","19.75","19.75","-0.05","197",
"112/10/06","173,509","3,440,533","19.75","19.95","19.75","19.80","+0.05","153",
"112/10/11","271,828","5,379,911","19.90","19.90","19.70","19.70","-0.10","216",
"112/10/12","323,712","6,375,342","19.80","19.80","19.65","19.70"," 0.00","273",
"112/10/13","210,721","4,142,567","19.70","19.75","19.60","19.65","-0.05","196",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
