"112年10月 1220 台榮             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","109,172","1,521,018","14.00","14.00","13.90","13.95"," 0.00","72",
"112/10/03","121,372","1,685,686","13.90","13.95","13.85","13.90","-0.05","60",
"112/10/04","148,177","2,042,230","13.80","13.85","13.75","13.80","-0.10","88",
"112/10/05","43,614","603,746","13.90","13.90","13.80","13.80"," 0.00","58",
"112/10/06","88,784","1,230,759","13.80","13.95","13.80","13.90","+0.10","66",
"112/10/11","96,041","1,327,440","14.00","14.00","13.70","13.80","-0.10","92",
"112/10/12","70,132","974,588","13.85","14.00","13.85","14.00","+0.20","83",
"112/10/13","48,291","674,615","14.00","14.05","13.90","13.95","-0.05","58",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
