"112年10月 1229 聯華             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","496,710","30,767,193","62.40","62.40","61.70","61.80","-0.60","1,123",
"112/10/03","491,766","30,427,866","61.90","62.10","61.50","61.90","+0.10","808",
"112/10/04","618,522","37,931,411","61.30","61.50","61.20","61.40","-0.50","1,340",
"112/10/05","762,320","47,338,799","62.10","62.40","61.70","61.80","+0.40","1,091",
"112/10/06","516,247","32,068,908","61.80","62.30","61.80","62.10","+0.30","787",
"112/10/11","954,766","58,936,782","62.40","62.40","61.50","61.60","-0.50","1,924",
"112/10/12","612,267","37,773,871","61.60","61.80","61.60","61.80","+0.20","927",
"112/10/13","920,050","56,470,043","61.60","61.80","61.20","61.30","-0.50","1,420",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
