"112年10月 1231 聯華食           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"112/10/02","75,163","6,629,429","88.20","88.30","88.00","88.20"," 0.00","262",
"112/10/03","78,746","6,915,888","88.00","88.00","87.60","87.90","-0.30","306",
"112/10/04","79,878","6,991,941","87.90","87.90","87.20","87.70","-0.20","308",
"112/10/05","49,294","4,331,156","88.30","88.30","87.60","87.90","+0.20","207",
"112/10/06","47,963","4,220,571","88.00","88.30","87.70","87.80","-0.10","228",
"112/10/11","256,540","22,417,811","88.20","88.20","87.00","87.20","-0.60","570",
"112/10/12","218,002","18,950,410","87.40","87.40","86.70","86.70","-0.50","584",
"112/10/13","263,525","22,768,976","86.70","87.00","86.00","87.00","+0.30","600",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"
