"111年08月 1232 大統益           各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"111/08/01","77,624","11,999,012","155.00","155.50","154.00","154.00","-1.00","270",
"111/08/02","108,219","16,518,992","154.00","154.00","152.00","152.00","-2.00","444",
"111/08/03","41,782","6,368,329","151.50","154.50","151.50","153.50","+1.50","158",
"111/08/04","94,079","14,375,942","153.00","154.50","152.00","154.50","+1.00","248",
"111/08/05","26,433","4,066,567","153.00","154.50","153.00","154.50"," 0.00","175",
"111/08/08","78,315","12,129,221","154.00","156.50","153.00","156.50","+2.00","242",
"111/08/09","44,370","6,941,378","155.50","157.00","155.50","157.00","+0.50","172",
"111/08/10","23,892","3,728,633","156.00","156.00","155.50","156.00","-1.00","136",
"111/08/11","34,290","5,347,120","156.00","156.50","155.50","156.00"," 0.00","150",
"111/08/12","73,115","11,474,192","156.00","158.00","156.00","158.00","+2.00","149",
"111/08/15","56,039","8,784,609","157.50","157.50","155.50","156.50","-1.50","254",
"111/08/16","31,485","4,917,386","156.50","156.50","156.00","156.50"," 0.00","156",
"111/08/17","48,837","7,608,283","156.00","156.00","155.00","156.00","-0.50","195",
"111/08/18","43,712","6,782,639","156.00","156.00","154.50","154.50","-1.50","167",
"111/08/19","53,660","8,272,718","154.50","155.00","153.50","153.50","-1.00","273",
"111/08/22","44,086","6,803,644","153.50","156.00","153.00","156.00","+2.50","138",
"111/08/23","47,949","7,410,640","155.00","155.00","154.00","155.00","-1.00","212",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
